floor,unit,architecture,mae_mean,mae_std
1,1,simple_lstm,0.153045392036438,0.021541497805786715
1,1,bidirectional_lstm,0.15944197177886962,0.028524227938230073
1,1,attention_lstm,0.16116892397403718,0.020922170909179142
1,1,gru_lstm_hybrid,0.1688848167657852,0.01946900246238075
1,2,simple_lstm,0.14205156415700912,0.03250731916062737
1,2,bidirectional_lstm,0.1436588481068611,0.03986851397528935
1,2,attention_lstm,0.1430138513445854,0.03339461778685562
1,2,gru_lstm_hybrid,0.15193121135234833,0.023115554039136888
1,3,simple_lstm,0.1393428012728691,0.01263912395670804
1,3,bidirectional_lstm,0.13981689661741256,0.019356007763076635
1,3,attention_lstm,0.13911319077014922,0.016291278508146805
1,3,gru_lstm_hybrid,0.14664757251739502,0.01993375922216985
1,4,simple_lstm,0.151147198677063,0.02519843121533635
1,4,bidirectional_lstm,0.14347145855426788,0.009814767723328953
1,4,attention_lstm,0.1540110558271408,0.030256428945007227
1,4,gru_lstm_hybrid,0.16314256191253662,0.023461853274923443
2,1,simple_lstm,0.13527051508426666,0.036394768365847326
2,1,bidirectional_lstm,0.13413239568471907,0.0384825055045788
2,1,attention_lstm,0.13061206191778182,0.03305043465387329
2,1,gru_lstm_hybrid,0.13504864573478698,0.01923585686122425
2,2,simple_lstm,0.14413404762744902,0.011726610792348217
2,2,bidirectional_lstm,0.14750003218650817,0.021754662050503658
2,2,attention_lstm,0.14969077706336975,0.015910303515333683
2,2,gru_lstm_hybrid,0.1573447823524475,0.011194215009308077
2,3,simple_lstm,0.152102467417717,0.028899840368224634
2,3,bidirectional_lstm,0.15064140856266023,0.03252069634267491
2,3,attention_lstm,0.15482929944992066,0.023458960598425088
2,3,gru_lstm_hybrid,0.15895314514636993,0.020791100971640643
2,4,simple_lstm,0.12055895626544952,0.00782063687052577
2,4,bidirectional_lstm,0.12598588913679123,0.021450136697494824
2,4,attention_lstm,0.13014436811208724,0.022191492207871363
2,4,gru_lstm_hybrid,0.13246158957481385,0.007213908246117589
3,1,simple_lstm,0.13682803511619568,0.014619530950347893
3,1,bidirectional_lstm,0.137136073410511,0.02185802294635173
3,1,attention_lstm,0.13622351437807084,0.02675653957479547
3,1,gru_lstm_hybrid,0.14298837929964064,0.018399356759154155
3,2,simple_lstm,0.15663503110408783,0.017508903425865616
3,2,bidirectional_lstm,0.155290424823761,0.020639781700441596
3,2,attention_lstm,0.1566218614578247,0.017348154041015987
3,2,gru_lstm_hybrid,0.17654060423374177,0.01927937680835205
3,3,simple_lstm,0.1445588767528534,0.016863778197262393
3,3,bidirectional_lstm,0.15607492327690126,0.03563063677925877
3,3,attention_lstm,0.14587623327970506,0.01569571044085717
3,3,gru_lstm_hybrid,0.15585874319076537,0.016572718814203184
3,4,simple_lstm,0.14914947748184204,0.02867545040575776
3,4,bidirectional_lstm,0.14942754358053206,0.033979370296646404
3,4,attention_lstm,0.14806192964315415,0.02592261722186382
3,4,gru_lstm_hybrid,0.15476015508174895,0.02399245436679466
4,1,simple_lstm,0.12801704406738282,0.019677446601660792
4,1,bidirectional_lstm,0.1301831930875778,0.025963511260409626
4,1,attention_lstm,0.1285781055688858,0.02720696097472829
4,1,gru_lstm_hybrid,0.14138949960470198,0.031206044879729687
4,2,simple_lstm,0.1426643341779709,0.04638666080714449
4,2,bidirectional_lstm,0.1425981879234314,0.04930589114063184
4,2,attention_lstm,0.1410561040043831,0.04107857573772479
4,2,gru_lstm_hybrid,0.13569850772619246,0.02587258303319522
4,3,simple_lstm,0.12224134355783463,0.030557943688551168
4,3,bidirectional_lstm,0.12004419267177582,0.027111644090569223
4,3,attention_lstm,0.12275718599557876,0.03066608894705968
4,3,gru_lstm_hybrid,0.1151182234287262,0.0169047350803543
4,4,simple_lstm,0.12916527688503265,0.024471617578303937
4,4,bidirectional_lstm,0.12691351324319838,0.019370528144837414
4,4,attention_lstm,0.1236327975988388,0.02083855804864977
4,4,gru_lstm_hybrid,0.1395511582493782,0.020461487051648766
5,1,simple_lstm,0.11618439704179764,0.010473642804025733
5,1,bidirectional_lstm,0.11851651072502137,0.016315187403489435
5,1,attention_lstm,0.11714313924312592,0.011238045986006142
5,1,gru_lstm_hybrid,0.1222449004650116,0.007673482790677931
5,2,simple_lstm,0.12385715693235397,0.029809339027871348
5,2,bidirectional_lstm,0.12881783097982408,0.0406749709139624
5,2,attention_lstm,0.12283302247524261,0.02701162682396525
5,2,gru_lstm_hybrid,0.13551569133996963,0.01597448192131437
5,3,simple_lstm,0.12378983050584794,0.01695524500392711
5,3,bidirectional_lstm,0.12068360298871994,0.01410973248613947
5,3,attention_lstm,0.12564530074596406,0.022111094514719133
5,3,gru_lstm_hybrid,0.12827116549015044,0.016042041055106187
5,4,simple_lstm,0.1438911348581314,0.025350452316842978
5,4,bidirectional_lstm,0.142618390917778,0.03088611639444291
5,4,attention_lstm,0.15114008635282516,0.03828197017886789
5,4,gru_lstm_hybrid,0.1565192312002182,0.027135284874922595
